Borough,Total_Crimes
Barking and Dagenham,26228
Barnet,39048
Bexley,21181
Brent,46630
Bromley,31812
Camden,52907
City of London,2307
Croydon,46007
Ealing,46742
Enfield,39710
Greenwich,37000
Hackney,42721
Hammersmith and Fulham,28859
Haringey,39049
Harrow,23385
Havering,26210
Hillingdon,42909
Hounslow,36176
Islington,43868
Kensington and Chelsea,29335
Kingston upon Thames,16203
Lambeth,50836
Lewisham,38712
Merton,18395
Newham,54151
Redbridge,32592
Richmond upon Thames,15809
Southwark,52334
Sutton,17438
Tower Hamlets,50910
Waltham Forest,32456
Wandsworth,36427
Westminster,106925
