Borough,School_Name,Phase,Type_Group,Capacity,Pupils,FSM_Percent,Gender,Religious_Character
City of London,The Aldgate School,Primary,Local authority maintained schools,245,249,23.3,Mixed,Church of England
City of London,City of London School for Girls,Not applicable,Independent schools,860,780,0,Girls,None
City of London,St Paul's Cathedral School,Not applicable,Independent schools,285,285,0,Mixed,Church of England
City of London,City of London School,Not applicable,Independent schools,1100,1074,0,Boys,None
Camden,Thomas Coram Centre,Nursery,Local authority maintained schools,0,116,43.8,Mixed,Does not apply
Camden,Heath School,Not applicable,Local authority maintained schools,0,31,77.4,Mixed,Does not apply
Camden,Camden Primary Pupil Referral Unit,Not applicable,Local authority maintained schools,20,19,84.2,Mixed,Does not apply
Camden,Argyle Primary School,Primary,Local authority maintained schools,432,278,60.8,Mixed,Does not apply
Camden,West Hampstead Primary School,Primary,Local authority maintained schools,446,409,42.8,Mixed,Does not apply
Camden,Brecknock Primary School,Primary,Local authority maintained schools,303,288,70.7,Mixed,Does not apply
Camden,Brookfield Primary School,Primary,Local authority maintained schools,459,394,38.9,Mixed,Does not apply
Camden,Edith Neville Primary School,Primary,Local authority maintained schools,236,204,51.2,Mixed,Does not apply
Camden,Fleet Primary School,Primary,Local authority maintained schools,210,215,54.4,Mixed,Does not apply
Camden,Hawley Primary School,Primary,Local authority maintained schools,236,228,51.3,Mixed,Does not apply
Camden,Netley Primary School,Primary,Local authority maintained schools,481,388,60.1,Mixed,Does not apply
Camden,New End Primary School,Primary,Local authority maintained schools,459,320,18.9,Mixed,Does not apply
Camden,Primrose Hill School,Primary,Local authority maintained schools,483,429,38.5,Mixed,Does not apply
Camden,Rhyl Community Primary School,Primary,Local authority maintained schools,459,392,65.1,Mixed,Does not apply
Camden,Richard Cobden Primary School,Primary,Local authority maintained schools,420,379,59.9,Mixed,Does not apply
Camden,Torriano Primary School,Primary,Local authority maintained schools,459,445,41.2,Mixed,Does not apply
Camden,Gospel Oak Primary School,Primary,Local authority maintained schools,459,424,36.2,Mixed,Does not apply
Camden,Fitzjohn's Primary School,Primary,Local authority maintained schools,210,230,13.1,Mixed,Does not apply
Camden,Eleanor Palmer Primary School,Primary,Local authority maintained schools,236,237,20.7,Mixed,Does not apply
Camden,"Christ Church Primary School, Hampstead",Primary,Local authority maintained schools,196,191,3.7,Mixed,Church of England
Camden,Christ Church School,Primary,Local authority maintained schools,210,173,50.0,Mixed,Church of England
Camden,Emmanuel Church of England Primary School,Primary,Local authority maintained schools,236,231,14.5,Mixed,Church of England
Camden,Hampstead Parochial Church of England Primary School,Primary,Local authority maintained schools,210,199,9.5,Mixed,Church of England
Camden,"Holy Trinity CofE Primary School, NW3",Primary,Local authority maintained schools,189,171,53.2,Mixed,Church of England
Camden,"Holy Trinity and Saint Silas CofE Primary School, NW1",Primary,Local authority maintained schools,210,204,31.9,Mixed,Church of England
Camden,Kentish Town Church of England Primary School,Primary,Local authority maintained schools,236,226,42.9,Mixed,Church of England
Camden,Rosary Catholic Primary School,Primary,Local authority maintained schools,360,301,41.4,Mixed,Roman Catholic
Camden,St Alban's Church of England Primary School,Primary,Local authority maintained schools,236,92,59.6,Mixed,Church of England
Camden,St George the Martyr Church of England Primary School,Primary,Local authority maintained schools,236,197,41.6,Mixed,Church of England
Camden,St Josephs Catholic Primary School,Primary,Local authority maintained schools,223,148,52.7,Mixed,Catholic
Camden,St Mary's Kilburn Church of England Primary School,Primary,Local authority maintained schools,210,229,65.1,Mixed,Church of England
Camden,St Mary and St Pancras Church of England Primary School,Primary,Local authority maintained schools,236,190,70.5,Mixed,Church of England
Camden,St Patrick's Catholic Primary School,Primary,Local authority maintained schools,210,121,65.0,Mixed,Roman Catholic
Camden,St Paul's Church of England Primary School,Primary,Local authority maintained schools,210,187,40.6,Mixed,Church of England
Camden,St Eugene de Mazenod Roman Catholic Primary School,Primary,Local authority maintained schools,210,204,45.6,Mixed,Roman Catholic
Camden,Our Lady Roman Catholic Primary School,Primary,Local authority maintained schools,240,219,69.4,Mixed,Roman Catholic
Camden,Haverstock School,Secondary,Local authority maintained schools,1035,909,72.6,Mixed,Does not apply
Camden,Parliament Hill School,Secondary,Local authority maintained schools,1164,1229,35.8,Girls,Does not apply
Camden,Regent High School,Secondary,Local authority maintained schools,1100,1086,67.6,Mixed,Does not apply
Camden,Hampstead School,Secondary,Local authority maintained schools,1320,1228,49.5,Mixed,Does not apply
Camden,Acland Burghley School,Secondary,Local authority maintained schools,1200,1218,36.5,Mixed,Does not apply
Camden,The Camden School for Girls,Secondary,Local authority maintained schools,1040,1076,28.4,Girls,None
Camden,Maria Fidelis Catholic School FCJ,Secondary,Local authority maintained schools,917,812,60.4,Mixed,Roman Catholic
Camden,William Ellis School,Secondary,Local authority maintained schools,895,817,52.4,Boys,None
Camden,La Sainte Union Catholic Secondary School,Secondary,Local authority maintained schools,1219,586,38.5,Girls,Roman Catholic
Camden,Children's Hospital School at Gt Ormond Street and UCH,Not applicable,Special schools,0,0,0,Mixed,Does not apply
Camden,St Christopher's School,Not applicable,Independent schools,272,255,0,Girls,None
Camden,St Margaret's School,Not applicable,Independent schools,170,163,0,Girls,None
Camden,Sarum Hall School,Not applicable,Independent schools,192,186,0,Girls,Church of England
Camden,The Hall School,Not applicable,Independent schools,470,474,0,Boys,Church of England
Camden,University College School,Not applicable,Independent schools,1318,1305,0,Mixed,None
Camden,The Cavendish School,Not applicable,Independent schools,276,187,0,Girls,Roman Catholic
Camden,"St Mary's School, Hampstead",Not applicable,Independent schools,307,207,0,Girls,Roman Catholic
Camden,North Bridge House Nursery & Pre-Prep Schools,Not applicable,Independent schools,420,198,0,Mixed,None
Camden,Hereward House School,Not applicable,Independent schools,170,162,0,Boys,None
Camden,St Anthony's School for Boys,Not applicable,Independent schools,390,266,0,Boys,Catholic
Camden,Hampstead Hill School,Not applicable,Independent schools,521,373,0,Mixed,None
Camden,North Bridge House Senior School,Not applicable,Independent schools,500,437,0,Mixed,None
Camden,Trevor-Roberts School,Not applicable,Independent schools,180,163,0,Mixed,None
Camden,South Hampstead High School GDST,Not applicable,Independent schools,964,954,0,Girls,None
Camden,Heathside Preparatory School,Not applicable,Independent schools,600,105,0,Mixed,None
Camden,Devonshire House Preparatory School,Not applicable,Independent schools,685,471,0,Mixed,None
Camden,Broadhurst School,Not applicable,Independent schools,135,102,0,Mixed,None
Camden,College Francais Bilingue De Londres,Not applicable,Independent schools,740,698,0,Mixed,None
Camden,Fine Arts College,Not applicable,Independent schools,240,209,0,Mixed,None
Camden,The Mulberry House School,Not applicable,Independent schools,223,190,0,Mixed,None
Camden,Southbank International School Hampstead,Not applicable,Independent schools,224,165,0,Mixed,None
Camden,Frank Barnes School for Deaf Children,Not applicable,Special schools,35,35,42.4,Mixed,Does not apply
Camden,Harmood School,Not applicable,Special schools,35,39,59.0,Mixed,Does not apply
Camden,Royal Free Hospital Children's School,Not applicable,Special schools,0,76,0,Mixed,Does not apply
Camden,Swiss Cottage School - Development & Research Centre,Not applicable,Special schools,260,260,58.0,Mixed,Does not apply
Greenwich,Rachel McMillan Nursery School and Children's Centre,Nursery,Local authority maintained schools,0,140,3.4,Mixed,Does not apply
Greenwich,Pound Park Nursery School,Nursery,Local authority maintained schools,0,146,13.0,Mixed,Does not apply
Greenwich,Abbey Wood Nursery School,Nursery,Local authority maintained schools,0,120,15.9,Mixed,Does not apply
Greenwich,Robert Owen Nursery School,Nursery,Local authority maintained schools,0,176,4.8,Mixed,Does not apply
Greenwich,Newhaven Pupil Referral Unit,Not applicable,Local authority maintained schools,0,191,38.8,Mixed,Does not apply
Greenwich,Morden Mount Primary School,Primary,Local authority maintained schools,450,394,36.5,Mixed,Does not apply
