Borough,Phase,Total_Schools,Total_Capacity,Total_Pupils,Avg_FSM_Percent
Barking and Dagenham,16 plus,1,0,0,0
Barking and Dagenham,All-through,5,11544,10137,30.8
Barking and Dagenham,Not applicable,10,700,883,53.8
Barking and Dagenham,Primary,44,28539,24056,25.0
Barking and Dagenham,Secondary,8,12652,11210,33.5
Barnet,16 plus,3,1700,0,0
Barnet,All-through,3,5250,3375,29.4
Barnet,Not applicable,50,10945,9073,46.7
Barnet,Nursery,4,0,414,0
Barnet,Primary,91,32139,29693,20.3
Barnet,Secondary,25,27311,25854,23.3
Bexley,All-through,1,1780,1538,42.0
Bexley,Not applicable,16,2005,1714,49.5
Bexley,Primary,60,25096,22044,19.9
Bexley,Secondary,15,20706,18453,20.5
Brent,All-through,2,3630,3569,31.5
Brent,Not applicable,23,4195,2847,49.7
Brent,Nursery,4,0,309,22.2
Brent,Primary,60,29494,25924,25.1
Brent,Secondary,14,19587,17967,28.8
Bromley,16 plus,1,0,0,0
Bromley,Not applicable,24,6735,5852,51.1
Bromley,Primary,76,30228,27160,16.2
Bromley,Secondary,19,24257,24532,20.7
Camden,16 plus,4,0,0,0
Camden,Not applicable,50,12719,9605,59.9
Camden,Nursery,1,0,116,43.8
Camden,Primary,38,11486,9997,44.1
Camden,Secondary,10,11040,9976,48.8
City of London,Not applicable,8,3525,2751,0
City of London,Primary,1,245,249,23.3
Croydon,16 plus,2,230,259,0
Croydon,Not applicable,39,11874,9516,51.5
Croydon,Nursery,5,0,424,0
Croydon,Primary,87,38643,31553,28.1
Croydon,Secondary,23,26469,21950,38.3
Ealing,All-through,1,1895,1672,41.3
Ealing,Not applicable,29,5993,4956,47.6
Ealing,Nursery,4,0,474,0
Ealing,Primary,65,33132,29609,28.4
Ealing,Secondary,16,23233,21801,32.2
Enfield,16 plus,1,0,0,0
Enfield,All-through,3,5545,5117,49.1
Enfield,Not applicable,18,3074,2867,61.5
Enfield,Primary,68,33960,27766,33.1
Enfield,Secondary,18,22759,19623,35.0
Greenwich,16 plus,1,1500,0,0
Greenwich,All-through,1,1860,1667,44.4
Greenwich,Not applicable,23,4952,4461,54.4
Greenwich,Nursery,4,0,582,9.3
Greenwich,Primary,62,26664,23579,32.0
Greenwich,Secondary,15,18119,17390,31.7
Hackney,Not applicable,36,14490,10885,67.0
Hackney,Nursery,2,0,192,21.3
Hackney,Primary,50,19471,16703,42.0
Hackney,Secondary,16,15916,14429,47.8
